,title,price,registration,km,displacement,hp,fuel,transmission,category,location,link,brand,town,model
10,  Audi A3 '09 Tsi,10500,04/2009,137000,1400,125,Petrol,Manual,Manual, AGIOS DIMITRIOS 17341,https://www.car.gr/classifieds/cars/view/330593818-audi-a3?lang=en,Audi,AGIOS DIMITRIOS,A3
11,  Mini ONE '14 Μηδενικά τέλη κυκλοφορίας ,13000,07/2014,120000,1496,95,Diesel,Manual,Manual, PATRA 26442,https://www.car.gr/classifieds/cars/view/328386247-mini-one?lang=en,Mini,PATRA,One
12,  Ford Focus '06  Turnier 1.6 TDCi Trend Durash,3800,07/2006,287000,16000,109,Diesel,Manual,Manual, ALEKSANDREIA 59300,https://www.car.gr/classifieds/cars/view/331212118-ford-focus?lang=en,Ford,ALEKSANDREIA,Focus
13,  Renault Captur '16 EURO6*110PS*6TAXYTO*XMOD,14999,07/2016,89000,1461,110,Diesel,Manual,Manual, PATRA 26222,https://www.car.gr/classifieds/cars/view/331083006-renault-captur?lang=en,Renault,PATRA,Captur
14,  Renault Kadjar '16 PANORAMA*BOSE*131PS*4X4,19999,05/2016,115000,1598,131,Diesel,Manual,Manual, PATRA 26222,https://www.car.gr/classifieds/cars/view/327489036-renault-kadjar?lang=en,Ram,PATRA,Unknown
15,"  Smart ForTwo '17 0.9 Turbo, 90PS, Automatic, Άριστο!",14990,07/2017,63000,900000,90,Petrol,Automatic,Automatic, THERMI 57001,https://www.car.gr/classifieds/cars/view/330938976-smart-fortwo?lang=en,Smart,THERMI,ForTwo
16,"  Bmw 525 '06 Xi, 4x4, Οροφή, Ελληνικό!!",10700,11/2006,200000,2497,218,Petrol,Manual,Manual, THERMI 57001,https://www.car.gr/classifieds/cars/view/330850138-bmw-525?lang=en,Bmw,THERMI,X4
17,  Fiat Panda '16 ΕΛΛΗΝΙΚΟ ΠΛΗΡΕΣ ΑΡΧΕΙΟ ΣΕΡΒΙΣ,8700,06/2016,120000,1248,95,Diesel,Manual,Manual, PYLAIA 55535,https://www.car.gr/classifieds/cars/view/330507845-fiat-panda?lang=en,Fiat,PYLAIA,Panda
18,  Opel Corsa '12,6600,01/2012,169000,1300,95,Diesel,Manual,Manual, ABELOKIPOI 56121,https://www.car.gr/classifieds/cars/view/330670318-opel-corsa?lang=en,Opel,ABELOKIPOI,Corsa
19,  Peugeot 107 '07,6300,01/2007,65000,998000,68,Petrol,Manual,Manual, PATRA 26223,https://www.car.gr/classifieds/cars/view/330145651-peugeot-107?lang=en,Peugeot,PATRA,107
20,  Opel Combo '14 Maxi,11000,02/2014,124000,1300,90,Diesel,Manual,Manual, FARSALA 40300,https://www.car.gr/classifieds/cars/view/325642269-opel-combo?lang=en,Opel,FARSALA,Combo
21,  Abarth 695 '22 Tributo 131 Rally,45000,10/2022,158000,1368,180,Petrol,Manual,Manual, FILOTHEI 15237,https://www.car.gr/classifieds/cars/view/328911110-abarth-695?lang=en,Abarth,FILOTHEI,Unknown
22,  Renault Scenic '16 X-MOD LIMITED,13300,06/2016,178980,1500,110,Diesel,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/329900337-renault-scenic?lang=en,Renault,KATW AXAIA,Scenic
23,  Renault Kangoo '16,14300,10/2016,198950,1500,90,Diesel,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/330272047-renault-kangoo?lang=en,Renault,KATW AXAIA,Kangoo
24,  Ford Fiesta '17 1500 CC  TDCI,9800,04/2017,235140,1500,85,Diesel,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/329767884-ford-fiesta?lang=en,Ford,KATW AXAIA,Fiesta
25,  Fiat Punto Evo '13 1250 CC 95 HP,8200,08/2013,188568,1250,95,Diesel,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/327533763-fiat-punto-evo?lang=en,Fiat,KATW AXAIA,Punto
26,  Opel Astra '15 CDTI ECOFLEX,11300,07/2015,145820,1600,110,Diesel,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/329781020-opel-astra?lang=en,Opel,KATW AXAIA,Astra
27,  Alfa Romeo Giulietta '13  1.6 JTDM 16V,11500,10/2013,208980,1600,120,Diesel,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/327595172-alfa-romeo-giulietta?lang=en,Alfa romeo,KATW AXAIA,Unknown
28,  Seat Leon '06 1600 CC  110 HP,5800,08/2006,131121,1600,110,Petrol,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/329723990-seat-leon?lang=en,Seat,KATW AXAIA,Leon
29,  Citroen C3 '16  1.6 BLUE HDi,7800,01/2016,266980,1600,90,Diesel,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/325899657-citroen-c3?lang=en,Citroen,KATW AXAIA,C3
30,  Volkswagen Passat '09 TSI 142HP,7800,02/2009,182066,1400,142,Petrol,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/329490615-volkswagen-passat?lang=en,Volkswagen,KATW AXAIA,Passat
31,  Fiat Punto '05 AYTOMATO,5200,08/2005,138750,1250,75,Petrol,Automatic,Automatic, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/326683510-fiat-punto?lang=en,Fiat,KATW AXAIA,Punto
32,  Citroen Jumpy '04 ΚΑΤΑΨΥΞΗ + ΠΡΙΖΑ,6500,11/2004,325780,2000,110,Diesel,Manual,Manual, KATW AXAIA 25200,https://www.car.gr/classifieds/cars/view/330591438-citroen-jumpy?lang=en,Citroen,KATW AXAIA,Jumpy
33,  Mitsubishi Space Star '16,7499,01/2016,83000,999000,71,Petrol,Manual,Manual, VOLOS 38500,https://www.car.gr/classifieds/cars/view/331089042-mitsubishi-space-star?lang=en,Mitsubishi,VOLOS,Space Star
34,  Toyota Corolla '17 Ελληνικό ιδιώτης full extra με Cruise Control,15500,01/2017,119000,1400,90,Diesel,Manual,Manual, ALEKSANDROYPOLI 68100,https://www.car.gr/classifieds/cars/view/329999865-toyota-corolla?lang=en,Toyota,ALEKSANDROYPOLI,Corolla
35,  Ford Fiesta '11,7650,09/2011,165000,1242,85,Petrol,Manual,Manual, VOLOS 38500,https://www.car.gr/classifieds/cars/view/331162608-ford-fiesta?lang=en,Ford,VOLOS,Fiesta
36,  Peugeot 208 '15 ΕΓΓΥΗΣΗ ΚΜ!!,9500,05/2015,99860,1400,75,Diesel,Manual,Manual, LIVADEIA 32100,https://www.car.gr/classifieds/cars/view/331132283-peugeot-208?lang=en,Peugeot,LIVADEIA,208
37,  Volkswagen Polo '18 R-line,22500,11/2018,40000,999000,115,Petrol,Automatic,Automatic, RETHYMNO 74100,https://www.car.gr/classifieds/cars/view/326860323-volkswagen-polo?lang=en,Volkswagen,RETHYMNO,Polo
38,  Audi TT '09,21000,09/2009,90000,1800,285,Petrol,Manual,Manual, RETHYMNO 74100,https://www.car.gr/classifieds/cars/view/326690548-audi-tt?lang=en,Audi,RETHYMNO,TT
39,  Mercedes-Benz GLC 250 '17  d 4MATIC 9G-TRONIC,42600,11/2017,139600,2143,204,Diesel,Automatic,Automatic, VEROIA 59100,https://www.car.gr/classifieds/cars/view/327473284-mercedes-benz-glc-250?lang=en,Mercedes-benz,VEROIA,GLC
40,  Mitsubishi Lancer '82 LANCER,700,01/1982,200000,1200,11,Petrol,Manual,Manual, LEPTOKARYA 60063,https://www.car.gr/classifieds/cars/view/34120904-mitsubishi-lancer?lang=en,Mitsubishi,LEPTOKARYA,Lancer
41,  Mini Cooper S '08 / WORKS PACKET.,9800,06/2008,229877,1598,175,Petrol,Automatic,Automatic, NEA ERYTHRAIA 14671,https://www.car.gr/classifieds/cars/view/328685643-mini-cooper-s?lang=en,Mini,NEA ERYTHRAIA,Cooper
42,  Mercedes-Benz E 200 '03 AVAGARDE / AYTOMATO / XENON.,11250,05/2003,96877,1796,163,Petrol,Automatic,Automatic, NEA ERYTHRAIA 14671,https://www.car.gr/classifieds/cars/view/330766806-mercedes-benz-e-200?lang=en,Mercedes-benz,NEA ERYTHRAIA,E 200
43,  Mercedes-Benz GLC 250 '16 4MATIC 9G-TRONIC,37600,02/2016,179600,2143,204,Diesel,Automatic,Automatic, VEROIA 59100,https://www.car.gr/classifieds/cars/view/327367340-mercedes-benz-glc-250?lang=en,Mercedes-benz,VEROIA,GLC
44,  Renault Kadjar '16 1.5 dCi Energy Edition ECO2,16500,08/2016,141700,1460,110,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/330509309-renault-kadjar?lang=en,Renault,VEROIA,Kadjar
45,  Renault Captur '17 1.5 dCi Energy Clima Navi,14200,04/2017,106200,1460,90,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/329774814-renault-captur?lang=en,Renault,VEROIA,Captur
46,  Bmw 325 '01,10,01/2001,58000,2495,192,Petrol,Manual,Manual, AGIOI THEODWROI 20003,https://www.car.gr/classifieds/cars/view/330696748-bmw-325?lang=en,Bmw,AGIOI THEODWROI,325
47,  Volkswagen Golf '15 1.6 TDi Comfortline Edition,13900,11/2015,87600,1600,110,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/329010699-volkswagen-golf?lang=en,Volkswagen,VEROIA,Golf
48,  Volkswagen Golf '15 1.6 TDi Cup Edition,13900,10/2015,139500,1600,110,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/330954236-volkswagen-golf?lang=en,Volkswagen,VEROIA,Golf
49,  Mercedes-Benz A 160 '03 Elegance,1500,12/2003,290000,1600,95,Petrol,Manual,Manual, NEA SMYRNI 17123,https://www.car.gr/classifieds/cars/view/331213910-mercedes-benz-a-160?lang=en,Mercedes-benz,NEA SMYRNI,A 160
50,  Peugeot 208 '15 DIESEL ΕΛΛΗΝΙΚΟ,7700,03/2015,96000,1600,75,Diesel,Manual,Manual, MARKOPOYLO 19003,https://www.car.gr/classifieds/cars/view/330438099-peugeot-208?lang=en,Peugeot,MARKOPOYLO,208
51,  Renault Captur '16 1.5 dCi 110ps Energy Eco2,13900,02/2016,136500,1460,110,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/331141015-renault-captur?lang=en,Renault,VEROIA,Captur
52,  Renault Captur '16 1.5 dCi Energy Clima Navi,13900,08/2016,134500,1460,90,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/330501410-renault-captur?lang=en,Renault,VEROIA,Captur
53,  Citroen C4 '07,3200,01/2007,240000,1400,90,Petrol,Manual,Manual, DRAMA 66100,https://www.car.gr/classifieds/cars/view/331060815-citroen-c4?lang=en,Citroen,DRAMA,C4
54,  Hyundai i 20 '15 Yes,10600,01/2015,65000,1260,85,Petrol,Manual,Manual, WRAIOKASTRO 57013,https://www.car.gr/classifieds/cars/view/329569013-hyundai-i-20?lang=en,Hyundai,WRAIOKASTRO,Unknown
55,  Renault Captur '13 1.5 dCi Dynamic Edition,12600,11/2013,126500,1460,90,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/331095748-renault-captur?lang=en,Renault,VEROIA,Captur
56,  Renault Clio '18 1.5 dCi Dynamic Edition ,10500,11/2018,152300,1460,90,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/330850896-renault-clio?lang=en,Renault,VEROIA,Clio
57,  Volkswagen Polo '16 1.4 TDi Lounge Edition,10300,01/2016,144600,1422,90,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/330954379-volkswagen-polo?lang=en,Volkswagen,VEROIA,Polo
58,  Smart ForTwo '08,6750,11/2008,103500,999000,71,Petrol,Automatic,Automatic, AGIOI ANARGYROI 13562,https://www.car.gr/classifieds/cars/view/330756877-smart-fortwo?lang=en,Smart,AGIOI ANARGYROI,ForTwo
59,  Renault Clio '17 Sport Tourer 1.5 dCi 90ps Navi,10000,08/2017,142500,1460,90,Diesel,Manual,Manual, VEROIA 59100,https://www.car.gr/classifieds/cars/view/330850909-renault-clio?lang=en,Renault,VEROIA,Clio
60,  Mercedes-Benz A 200 '18 7G-DCT,35000,11/2018,44500,1332,163,Petrol,Automatic,Automatic, NIKAIA 18451,https://www.car.gr/classifieds/cars/view/327995417-mercedes-benz-a-200?lang=en,Mercedes-benz,NIKAIA,A 200
61,  Bmw 316 '00,4300,07/2000,210000,1600,105,Petrol,Manual,Manual, THERMI 57001,https://www.car.gr/classifieds/cars/view/330234844-bmw-316?lang=en,Bmw,THERMI,316
63,  Mercedes-Benz GLB 200 '22,49500,09/2022,1000,1300,163,Petrol,Automatic,Automatic, THERMI 57001,https://www.car.gr/classifieds/cars/view/327416536-mercedes-benz-glb-200?lang=en,Mercedes-benz,THERMI,GLB
64,  Volkswagen Golf '15,19000,01/2015,95000,1400,140,Petrol,Manual,Manual, NIKAIA 18450,https://www.car.gr/classifieds/cars/view/331006414-volkswagen-golf?lang=en,Volkswagen,NIKAIA,Golf
65,  Hyundai Accent '06,3700,09/2006,240000,1400,85,Petrol,Manual,Manual, THERMI 57001,https://www.car.gr/classifieds/cars/view/330803653-hyundai-accent?lang=en,Hyundai,THERMI,Accent
66,  Volkswagen Tiguan '21  1.5 TSI OPF R-Line DSG,36999,09/2021,16100,1500,150,Petrol,Automatic,Automatic, PALAIO FALIRO 17561,https://www.car.gr/classifieds/cars/view/329604852-volkswagen-tiguan?lang=en,Volkswagen,PALAIO FALIRO,Tiguan
67,  Audi Q3 '14,17900,05/2014,179300,1400,160,Petrol,Automatic,Automatic, PALAIO FALIRO 17561,https://www.car.gr/classifieds/cars/view/327816675-audi-q3?lang=en,Audi,PALAIO FALIRO,Q3
68,  Alfa Romeo Alfa 159 '07,3000,11/2007,150000,2200,200,Petrol,Manual,Manual, THERMI 57001,https://www.car.gr/classifieds/cars/view/326621937-alfa-romeo-alfa-159?lang=en,Alfa romeo,THERMI,159
69,  Volkswagen Polo '20 15000 ΧΙΛΙΟΜΕΤΡΑ!!ΚΑΙΝΟΥΡΓΙΟ ,15300,10/2020,15000,999000,80,Petrol,Manual,Manual, KALLITHEA 17676,https://www.car.gr/classifieds/cars/view/330726882-volkswagen-polo?lang=en,Volkswagen,KALLITHEA,Polo
70,  Ford Fiesta '17  ST line ,16000,06/2017,179000,1500,140,Diesel,Manual,Manual, PSAXNA 34400,https://www.car.gr/classifieds/cars/view/331155540-ford-fiesta?lang=en,Ford,PSAXNA,Fiesta
71,  Peugeot 308 '08,9000,07/2008,50000,1598,150,Petrol,Manual,Manual, PEIRAIAS 18544,https://www.car.gr/classifieds/cars/view/331214053-peugeot-308?lang=en,Peugeot,PEIRAIAS,308
72,  Ford Escort '94,800,01/1994,300000,1392,100,Petrol,Manual,Manual, PATRA 26441,https://www.car.gr/classifieds/cars/view/331214044-ford-escort?lang=en,Ford,PATRA,Escort
73,  Mercedes-Benz A 180 '16  d Style,24800,06/2016,170000,1461,109,Diesel,Manual,Manual, TRIPOLI 22132,https://www.car.gr/classifieds/cars/view/329724445-mercedes-benz-a-180?lang=en,Mercedes-benz,TRIPOLI,A 180
74,  Peugeot 207 '07 Rallye Σφυρι Big Turbo,8300,11/2007,141000,1600,340,Petrol,Manual,Manual, KOMOTINI 69100,https://www.car.gr/classifieds/cars/view/330504376-peugeot-207?lang=en,Peugeot,KOMOTINI,207
75,  Ford Ranger '18 LIMITED ,26,08/2018,45300,2200,160,Diesel,Manual,Manual, VOLOS 38222,https://www.car.gr/classifieds/cars/view/327436935-ford-ranger?lang=en,Ford,VOLOS,Ranger
76,  Fiat Panda '18  1.3 JTD Multijet 16V Dynamic,8900,01/2018,160000,1248,95,Diesel,Manual,Manual, KAVALA 65403,https://www.car.gr/classifieds/cars/view/331214339-fiat-panda?lang=en,Fiat,KAVALA,Panda
77,  Fiat Panda '08,5300,10/2008,130000,1100,65,Petrol,Manual,Manual, PYRGOS 27131,https://www.car.gr/classifieds/cars/view/330499490-fiat-panda?lang=en,Fiat,PYRGOS,Panda
78,  Mercedes-Benz 230 '84,4200,01/1984,240000,2300,136,Petrol,Automatic,Automatic, AGIOI ANARGYROI 13561,https://www.car.gr/classifieds/cars/view/330821489-mercedes-benz-230?lang=en,Mercedes-benz,AGIOI ANARGYROI,Unknown
79,  Renault Megane '14,11000,12/2014,104000,1600,130,Diesel,Manual,Manual, ILIOYPOLI 16343,https://www.car.gr/classifieds/cars/view/331154579-renault-megane?lang=en,Renault,ILIOYPOLI,Megane
80,  Opel Astra '16,11500,10/2016,170000,1600,130,Diesel,Manual,Manual, VOLOS 38222,https://www.car.gr/classifieds/cars/view/329680916-opel-astra?lang=en,Opel,VOLOS,Astra
81,  Bmw 316 '98 Μονο σε κομματια,1000,01/1998,190000,1600,100,Petrol,Manual,Manual, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/318249147-bmw-316?lang=en,Bmw,PTOLEMAIDA,316
82,  Audi A4 '99 Quattro,1000,01/1999,180000,1800,150,Petrol,Manual,Manual, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/36827596-audi-a4?lang=en,Audi,PTOLEMAIDA,A4
83,  Bmw 316 '00 Μονο σε κομματια,1500,01/2000,180000,1900,118,Petrol,Manual,Manual, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/318249126-bmw-316?lang=en,Bmw,PTOLEMAIDA,316
84,  Bmw 530 '05,11111,01/2005,200000,3000,231,Petrol,Automatic,Automatic, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/36463295-bmw-530?lang=en,Bmw,PTOLEMAIDA,530
85,  Fiat 500 '19 ΠΑΝΌΡΑΜΑ ,13500,05/2019,25250,1250,70,Petrol,Manual,Manual, VOLOS 38222,https://www.car.gr/classifieds/cars/view/329759151-fiat-500?lang=en,Fiat,VOLOS,500
86,  Opel Corsa '05 Μονο σε κομματια,555,01/2005,170000,1200,75,Petrol,Manual,Manual, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/37147075-opel-corsa?lang=en,Opel,PTOLEMAIDA,Corsa
87,  Bmw 316 '01 Κομμάτια ανταλλακτικα ,1111,01/2001,180000,1900,115,Petrol,Manual,Manual, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/33322704-bmw-316?lang=en,Bmw,PTOLEMAIDA,316
88,  Bmw 520 '99 Μονο ανταλλακτικα κομματια,1111,01/1999,190000,2000,150,Petrol,Manual,Manual, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/37146844-bmw-520?lang=en,Bmw,PTOLEMAIDA,520
89,  Opel Tigra '07,1234,01/2007,150000,1400,90,Petrol,Manual,Manual, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/36827523-opel-tigra?lang=en,Opel,PTOLEMAIDA,Tigra
90,  Toyota Corolla '06,6600,12/2006,187900,1364,90,Diesel,Manual,Manual, EPANOMI 57500,https://www.car.gr/classifieds/cars/view/329910466-toyota-corolla?lang=en,Toyota,EPANOMI,Corolla
91,  Renault Twingo '97,950,04/1997,170000,1239,9,Petrol,Manual,Manual, PERAMA 74052,https://www.car.gr/classifieds/cars/view/330560817-renault-twingo?lang=en,Renault,PERAMA,Twingo
92,  Mercedes-Benz A 180 '15 Amg Line,22600,01/2015,113583,1500,145,Diesel,Automatic,Automatic, KERATSINI 18758,https://www.car.gr/classifieds/cars/view/331214305-mercedes-benz-a-180?lang=en,Mercedes-benz,KERATSINI,A 180
93,  Fiat Punto Evo '10,11000,11/2010,32000,1400,320,Petrol,Manual,Manual, EPANOMI 57500,https://www.car.gr/classifieds/cars/view/319553268-fiat-punto-evo?lang=en,Fiat,EPANOMI,Punto
94,  Mazda RX-8 '07 Cosmo,5500,01/2007,90337,1300,231,Petrol,Manual,Manual, ATHINA 11745,https://www.car.gr/classifieds/cars/view/331096473-mazda-rx-8?lang=en,Mazda,ATHINA,RX-8
95,  Peugeot 106 '01  S16,3800,01/2001,244501,1600,154,Petrol,Manual,Manual, THESSALONIKI 54250,https://www.car.gr/classifieds/cars/view/329757726-peugeot-106?lang=en,Peugeot,THESSALONIKI,106
96,  Nissan Juke '21 1.0 N-CONNECTA PACK,24500,05/2021,6000,1000,114,Petrol,Manual,Manual, KOZANI 50100,https://www.car.gr/classifieds/cars/view/330784544-nissan-juke?lang=en,Nissan,KOZANI,JUKE
97,  Nissan Qashqai '21 N-CONNECTA,32990,10/2021,2000,1300,140,Petrol,Manual,Manual, KOZANI 50100,https://www.car.gr/classifieds/cars/view/327325469-nissan-qashqai?lang=en,Nissan,KOZANI,Qashqai
98,  Nissan Micra '03,3990,08/2003,267501,1400,90,Petrol,Manual,Manual, KOZANI 50100,https://www.car.gr/classifieds/cars/view/331023461-nissan-micra?lang=en,Nissan,KOZANI,Micra
99,  Toyota Corolla '10 ΕΛΛΗΝΙΚΟ!!VALVEMATIC 132PS!!,8900,07/2010,166000,1600,132,Petrol,Manual,Manual, KALAMARIA 55134,https://www.car.gr/classifieds/cars/view/328755038-toyota-corolla?lang=en,Toyota,KALAMARIA,Corolla
100,  Volvo XC 90 '07 V8 AWD ΜΟΝΑΔΙΚΟ !!!!,10500,10/2007,360000,4414,315,Petrol,Automatic,Automatic, AXARNES 13677,https://www.car.gr/classifieds/cars/view/29513684-volvo-xc-90?lang=en,Volvo,AXARNES,Unknown
101,  Fiat Sedici '07,5990,08/2007,150000,1600,107,Petrol,Manual,Manual, WRAIOKASTRO 57013,https://www.car.gr/classifieds/cars/view/10999032-fiat-sedici?lang=en,Fiat,WRAIOKASTRO,Unknown
102,  Mercedes-Benz SLK 200 '03 Compressor ,7000,01/2003,175000,2000,200,Petrol,Manual,Manual, IRAKLEIO 71409,https://www.car.gr/classifieds/cars/view/331214408-mercedes-benz-slk-200?lang=en,Mercedes-benz,IRAKLEIO,SL
103,  Nissan Qashqai '13 4x4!1.6 dCi!ΕΛΛΗΝΙΚΟ!Tekna!,13000,07/2013,197000,1600,130,Diesel,Manual,Manual, KALAMARIA 55134,https://www.car.gr/classifieds/cars/view/328781020-nissan-qashqai?lang=en,Nissan,KALAMARIA,Qashqai
104,  Ford Mondeo '02,1000,06/2002,315000,1800,125,Petrol,Manual,Manual, KORWPI 19400,https://www.car.gr/classifieds/cars/view/329654957-ford-mondeo?lang=en,Ford,KORWPI,Mondeo
105,  Audi Q5 '09  2.0 TFSI quattro 20' ζαντες,16500,12/2009,170000,1999,211,Petrol,Manual,Manual, ILIOYPOLI 16344,https://www.car.gr/classifieds/cars/view/326982472-audi-q5?lang=en,Audi,ILIOYPOLI,Q5
106,  Opel Astra '06,3900,08/2006,250000,1400,90,Petrol,Manual,Manual, FLWRINA 53100,https://www.car.gr/classifieds/cars/view/331137230-opel-astra?lang=en,Opel,FLWRINA,Astra
107,  Bmw 120 '20 Xdrive 190PS M PACKET,52900,12/2020,31000,1998,190,Diesel,Automatic,Automatic, LARISA 41500,https://www.car.gr/classifieds/cars/view/330536009-bmw-120?lang=en,Bmw,LARISA,120
108,  Mercedes-Benz Citan '17 111 Long PRO Tourer,15800,07/2017,95000,1461,110,Diesel,Manual,Manual, RODOS 85100,https://www.car.gr/classifieds/cars/view/331154457-mercedes-benz-citan?lang=en,Mercedes-benz,RODOS,Unknown
109,  Opel Corsa '12 Satelite,7600,01/2012,90000,1248,95,Diesel,Manual,Manual, RODOS 85100,https://www.car.gr/classifieds/cars/view/331043906-opel-corsa?lang=en,Opel,RODOS,Corsa
110,"  Peugeot 207 '11 X-Line 1,6Diesel",6950,04/2011,120000,1560,92,Diesel,Manual,Manual, RODOS 85100,https://www.car.gr/classifieds/cars/view/328485967-peugeot-207?lang=en,Peugeot,RODOS,207
111,"  Opel Astra '15 1,6 Diesel Full extra ",11500,01/2015,115108,1598,110,Diesel,Manual,Manual, RODOS 85100,https://www.car.gr/classifieds/cars/view/330967767-opel-astra?lang=en,Opel,RODOS,Astra
112,  Opel Astra '11  1.3 CDTI ecoFlex,9500,06/2011,115500,1248,95,Diesel,Manual,Manual, RODOS 85100,https://www.car.gr/classifieds/cars/view/322466802-opel-astra?lang=en,Opel,RODOS,Astra
113,  Peugeot 208 '17,10900,10/2017,73500,1560,100,Diesel,Manual,Manual, RODOS 85100,https://www.car.gr/classifieds/cars/view/330575604-peugeot-208?lang=en,Peugeot,RODOS,208
114,  Seat Toledo '17  1.6 TDI Full extra,11800,01/2017,100500,1560,115,Diesel,Manual,Manual, RODOS 85100,https://www.car.gr/classifieds/cars/view/330688644-seat-toledo?lang=en,Seat,RODOS,Toledo
115,  Volkswagen Polo '03 1.4 16V TRENDLINE,2990,01/2003,215000,1400,80,Petrol,Manual,Manual, THERMI 57001,https://www.car.gr/classifieds/cars/view/327769628-volkswagen-polo?lang=en,Volkswagen,THERMI,Polo
116,  Bmw X5 '08,19000,04/2008,217000,3000,235,Petrol,Automatic,Automatic, THERMI 57001,https://www.car.gr/classifieds/cars/view/317186165-bmw-x5?lang=en,Bmw,THERMI,X5
